x	y
4.6149	9.4852
5.3829	13.1684
8.6515	19.3157
9.7658	21.0094
4.3198	9.2634
4.9352	9.0330
4.2399	9.9329
2.8410	6.4094
6.4154	12.2377
5.7585	11.4038
4.2728	8.8210
9.0596	17.3803
6.8469	15.2747
1.6669	4.5703
8.3816	19.3159
1.9039	4.5987
7.7374	18.0227
2.2381	5.4948
5.1202	10.3148
1.2891	3.9800
9.0087	19.3527
0.7076	2.0739
9.7592	19.9618
4.2996	8.5590
5.8078	13.1123
3.7770	8.7623
6.4576	13.7148
2.9627	7.5876
5.7884	11.4837
3.2875	7.0677
1.1191	4.4493
5.6767	12.3552
7.1126	15.2782
5.8292	12.9080
8.2929	16.6301
4.9948	11.4372
3.3389	8.2407
8.8680	20.1184
8.8881	18.7653
5.5479	10.7108
0.1052	0.7294
5.5416	12.6941
2.3186	5.7198
5.8687	12.4420
1.5800	4.1467
6.2503	13.8133
0.4726	2.5557
5.5059	12.6774
7.9772	17.4600
6.2294	14.0091
8.5579	17.5938
6.1572	12.2584
8.7412	19.8122
1.5960	3.2264
4.0254	9.5349
5.2726	10.3066
4.4978	10.5886
5.3973	12.3543
7.7246	17.0560
5.1989	12.2383
8.9007	19.9914
3.2912	7.4443
9.0467	20.7386
0.2001	0.5049
5.0492	11.8404
6.1820	12.7435
6.7386	15.6899
0.5355	2.8458
3.3104	7.6402
3.0346	6.6988
0.5038	0.2316
2.3209	5.4040
0.7172	3.9692
5.9911	11.6556
8.5948	19.6222
2.8268	5.7248
6.9258	16.5123
1.0885	2.5728
1.8119	3.8559
3.7046	8.3103
3.5317	9.9533
6.6176	13.5379
6.7951	14.4181
4.9543	11.2442
1.2384	4.8077
7.1391	14.2743
2.6181	7.4170
3.5997	6.3515
9.2299	19.9502
7.5984	16.4573
2.8435	6.1818
3.2563	9.2946
8.5613	18.9183
4.1727	11.4137
4.8837	10.5793
5.6731	12.5872
7.4322	15.3862
2.9246	7.7218
5.3270	11.3363
6.9347	14.8640
